# Event	Time [ms]	ADC	datum
347	4944	2	1679
347	4944	3	1602
348	4952	0	394
348	4952	1	0
348	4952	2	1663
348	4952	3	1515
349	4958	2	1657
349	4958	3	1608
350	4961	0	6953
350	4961	1	0
350	4961	2	1559
350	4961	3	1670
351	4989	0	1622
351	4989	1	125
351	4989	2	1644
351	4989	3	1508
352	4995	0	8191
352	4995	1	0
352	4995	2	1530
352	4995	3	1678
353	4996	2	1573
353	4996	3	1632
354	5014	0	1623
354	5014	1	0
354	5014	2	1641
354	5014	3	1515
355	5017	2	1669
355	5017	3	1609
356	5018	0	7771
356	5018	1	0
356	5018	2	1561
356	5018	3	1685
357	5035	2	1615
357	5035	3	1622
358	5046	3	1635
359	5075	2	1650
359	5075	3	1518
360	5075	0	4080
360	5075	1	76
360	5075	2	1585
360	5075	3	1540
361	5076	0	8191
361	5076	1	0
361	5076	2	1669
361	5076	3	1582
362	5079	0	5720
362	5079	1	0
362	5079	2	1576
362	5079	3	1611
363	5079	0	8191
363	5079	1	0
363	5079	2	1685
363	5079	3	1563
364	5090	0	8191
364	5090	1	56
364	5090	2	1681
364	5090	3	1571
365	5091	0	7773
365	5091	1	0
365	5091	2	1471
365	5091	3	1811
366	5093	0	7771
366	5093	1	111
366	5093	2	1558
366	5093	3	1676
367	5095	2	1557
367	5095	3	1666
368	5106	0	6542
368	5106	1	0
368	5106	2	1544
368	5106	3	1641
369	5109	0	8191
369	5109	1	0
369	5109	2	1557
369	5109	3	1692
370	5143	2	1684
370	5143	3	1617
371	5160	0	803
371	5160	1	0
371	5160	2	1703
371	5160	3	1525
372	5160	0	8181
372	5160	1	53
372	5160	2	1560
372	5160	3	1693
373	5167	0	5721
373	5167	1	0
373	5167	2	1567
373	5167	3	1604
374	5201	0	2441
374	5201	1	0
375	5214	0	8191
375	5214	1	98
375	5214	2	1654
375	5214	3	1523
376	5235	2	1660
376	5235	3	1598
377	5241	2	1637
377	5241	3	1514
378	5245	0	5312
378	5245	1	58
378	5245	2	1574
378	5245	3	1605
379	5259	0	5725
379	5259	1	0
379	5259	2	1567
379	5259	3	1601
380	5260	2	1634
380	5260	3	1517
381	5262	0	803
381	5262	1	0
381	5262	2	1666
381	5262	3	1520
382	5274	0	1621
382	5274	1	82
382	5274	2	1639
382	5274	3	1519
383	5277	0	2029
383	5277	1	0
383	5277	2	1635
383	5277	3	1516
384	5287	0	8191
384	5287	1	89
384	5287	2	1650
384	5287	3	1568
385	5310	0	8191
385	5310	1	71
385	5310	2	1563
385	5310	3	1715
386	5332	0	4082
386	5332	1	0
386	5332	2	1601
386	5332	3	1542
387	5368	0	8191
387	5368	1	0
387	5368	2	1561
387	5368	3	1699
388	5392	0	6543
388	5392	1	0
388	5392	2	1566
388	5392	3	1638
389	5397	0	6544
389	5397	1	0
389	5397	2	1556
389	5397	3	1646
390	5398	0	2441
390	5398	1	37
390	5398	2	1622
390	5398	3	1509
391	5404	0	1620
391	5404	1	0
391	5404	2	1650
391	5404	3	1515
392	5409	2	1664
392	5409	3	1602
393	5410	0	7366
393	5410	1	38
393	5410	2	1550
393	5410	3	1672
394	5416	0	5311
394	5416	1	0
394	5416	2	1570
394	5416	3	1592
395	5429	0	8183
395	5429	1	0
395	5429	2	1560
395	5429	3	1705
396	5431	0	2852
396	5431	1	0
396	5431	2	1603
396	5431	3	1514
397	5450	0	2852
397	5450	1	72
397	5450	2	1625
397	5450	3	1522
398	5455	0	1212
398	5455	1	57
398	5455	2	1656
398	5455	3	1524
399	5461	0	8191
399	5461	1	0
399	5461	2	1660
399	5461	3	1539
400	5499	0	2851
400	5499	1	40
400	5499	2	1607
400	5499	3	1517
401	5502	0	803
401	5502	1	112
401	5502	2	1615
401	5502	3	1518
402	5515	0	8191
402	5515	1	62
402	5515	2	1654
402	5515	3	1577
403	5516	0	8191
403	5516	1	0
403	5516	2	1651
403	5516	3	1538
404	5530	0	8191
404	5530	1	0
404	5530	2	1665
404	5530	3	1553
405	5534	0	8191
405	5534	1	0
405	5534	2	1659
405	5534	3	1558
406	5589	0	2853
406	5589	1	48
406	5589	2	1601
406	5589	3	1514
407	5609	2	1664
407	5609	3	1590
408	5610	0	8191
408	5610	1	0
408	5610	2	1684
408	5610	3	1560
409	5612	2	1686
409	5612	3	1598
410	5615	0	3670
410	5615	1	0
410	5615	2	1583
410	5615	3	1527
411	5646	0	6956
411	5646	1	0
411	5646	2	1561
411	5646	3	1666
412	5649	0	8191
412	5649	1	42
412	5649	2	1668
412	5649	3	1545
413	5658	0	6545
413	5658	1	0
413	5658	2	1557
413	5658	3	1645
414	5662	0	7364
414	5662	1	0
414	5662	2	1541
414	5662	3	1678
415	5664	0	8191
415	5664	1	0
415	5664	2	1659
